country,Year,International_tourist_arrivals_by_region,percentage
Africa,1995,12832774.0,África: 3% - 5%
Americas,1995,101567080.0,Américas: 15% - 20%
East Asia and the Pacific,1995,114378800.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,1995,299340380.0,Europa: 40% - 45%
Middle East,1995,10119565.0,Oriente Médio: 5% - 8%
Not classified,1995,10150115.0,"Não classificado: 1% - 3%
"
South Asia,1995,4779760.0,Sul da Ásia: 5% - 8%
Africa,1996,14155691.0,África: 3% - 5%
Americas,1996,109251144.0,Américas: 15% - 20%
East Asia and the Pacific,1996,125587384.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,1996,381872800.0,Europa: 40% - 45%
Middle East,1996,9920710.0,Oriente Médio: 5% - 8%
Not classified,1996,8435827.0,"Não classificado: 1% - 3%
"
South Asia,1996,5089573.0,Sul da Ásia: 5% - 8%
Africa,1997,13967372.0,África: 3% - 5%
Americas,1997,114045180.0,Américas: 15% - 20%
East Asia and the Pacific,1997,130557200.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,1997,432696580.0,Europa: 40% - 45%
Middle East,1997,10553928.0,Oriente Médio: 5% - 8%
Not classified,1997,9140661.0,"Não classificado: 1% - 3%
"
South Asia,1997,5426766.0,Sul da Ásia: 5% - 8%
Africa,1998,15619527.0,África: 3% - 5%
Americas,1998,119572030.0,Américas: 15% - 20%
East Asia and the Pacific,1998,131372620.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,1998,449979100.0,Europa: 40% - 45%
Middle East,1998,11949030.0,Oriente Médio: 5% - 8%
Not classified,1998,10631038.0,"Não classificado: 1% - 3%
"
South Asia,1998,5627012.0,Sul da Ásia: 5% - 8%
Africa,1999,15523998.0,África: 3% - 5%
Americas,1999,121239190.0,Américas: 15% - 20%
East Asia and the Pacific,1999,148024540.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,1999,463903740.0,Europa: 40% - 45%
Middle East,1999,12279016.0,Oriente Médio: 5% - 8%
Not classified,1999,11328200.0,"Não classificado: 1% - 3%
"
South Asia,1999,6155573.0,Sul da Ásia: 5% - 8%
Africa,2000,16495090.0,África: 3% - 5%
Americas,2000,130507890.0,Américas: 15% - 20%
East Asia and the Pacific,2000,168370610.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2000,480935520.0,Europa: 40% - 45%
Middle East,2000,16939676.0,Oriente Médio: 5% - 8%
Not classified,2000,11891885.0,"Não classificado: 1% - 3%
"
South Asia,2000,8098234.0,Sul da Ásia: 5% - 8%
Africa,2001,17826482.0,África: 3% - 5%
Americas,2001,125493330.0,Américas: 15% - 20%
East Asia and the Pacific,2001,175153070.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2001,464764100.0,Europa: 40% - 45%
Middle East,2001,18354500.0,Oriente Médio: 5% - 8%
Not classified,2001,12927437.0,"Não classificado: 1% - 3%
"
South Asia,2001,8455692.0,Sul da Ásia: 5% - 8%
Africa,2002,19361310.0,África: 3% - 5%
Americas,2002,121307816.0,Américas: 15% - 20%
East Asia and the Pacific,2002,189317710.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2002,469437060.0,Europa: 40% - 45%
Middle East,2002,20863248.0,Oriente Médio: 5% - 8%
Not classified,2002,12763316.0,"Não classificado: 1% - 3%
"
South Asia,2002,9381315.0,Sul da Ásia: 5% - 8%
Africa,2003,19420966.0,África: 3% - 5%
Americas,2003,115345330.0,Américas: 15% - 20%
East Asia and the Pacific,2003,175612770.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2003,477238400.0,Europa: 40% - 45%
Middle East,2003,21081484.0,Oriente Médio: 5% - 8%
Not classified,2003,13306832.0,"Não classificado: 1% - 3%
"
South Asia,2003,9831660.0,Sul da Ásia: 5% - 8%
Africa,2004,20437188.0,África: 3% - 5%
Americas,2004,130644650.0,Américas: 15% - 20%
East Asia and the Pacific,2004,218112210.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2004,527873760.0,Europa: 40% - 45%
Middle East,2004,24797046.0,Oriente Médio: 5% - 8%
Not classified,2004,15823626.0,"Não classificado: 1% - 3%
"
South Asia,2004,11306415.0,Sul da Ásia: 5% - 8%
Africa,2005,21475854.0,África: 3% - 5%
Americas,2005,137964740.0,Américas: 15% - 20%
East Asia and the Pacific,2005,235269810.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2005,567127100.0,Europa: 40% - 45%
Middle East,2005,25142114.0,Oriente Médio: 5% - 8%
Not classified,2005,20570262.0,"Não classificado: 1% - 3%
"
South Asia,2005,10928877.0,Sul da Ásia: 5% - 8%
Africa,2006,26401442.0,África: 3% - 5%
Americas,2006,144649500.0,Américas: 15% - 20%
East Asia and the Pacific,2006,250130820.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2006,587205440.0,Europa: 40% - 45%
Middle East,2006,26511154.0,Oriente Médio: 5% - 8%
Not classified,2006,16337972.0,"Não classificado: 1% - 3%
"
South Asia,2006,12311288.0,Sul da Ásia: 5% - 8%
Africa,2007,30213164.0,África: 3% - 5%
Americas,2007,151932460.0,Américas: 15% - 20%
East Asia and the Pacific,2007,270264200.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2007,622667800.0,Europa: 40% - 45%
Middle East,2007,29504518.0,Oriente Médio: 5% - 8%
Not classified,2007,21838666.0,"Não classificado: 1% - 3%
"
South Asia,2007,14351938.0,Sul da Ásia: 5% - 8%
Africa,2008,31113262.0,África: 3% - 5%
Americas,2008,152365360.0,Américas: 15% - 20%
East Asia and the Pacific,2008,267929740.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2008,628069060.0,Europa: 40% - 45%
Middle East,2008,28246012.0,Oriente Médio: 5% - 8%
Not classified,2008,22162066.0,"Não classificado: 1% - 3%
"
South Asia,2008,14844838.0,Sul da Ásia: 5% - 8%
Africa,2009,28588780.0,África: 3% - 5%
Americas,2009,147419840.0,Américas: 15% - 20%
East Asia and the Pacific,2009,264840400.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2009,597125200.0,Europa: 40% - 45%
Middle East,2009,30365486.0,Oriente Médio: 5% - 8%
Not classified,2009,22400594.0,"Não classificado: 1% - 3%
"
South Asia,2009,15666971.0,Sul da Ásia: 5% - 8%
Africa,2010,31106950.0,África: 3% - 5%
Americas,2010,157585920.0,Américas: 15% - 20%
East Asia and the Pacific,2010,293890240.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2010,617293400.0,Europa: 40% - 45%
Middle East,2010,33532906.0,Oriente Médio: 5% - 8%
Not classified,2010,24320432.0,"Não classificado: 1% - 3%
"
South Asia,2010,19199696.0,Sul da Ásia: 5% - 8%
Africa,2011,28951870.0,África: 3% - 5%
Americas,2011,166080160.0,Américas: 15% - 20%
East Asia and the Pacific,2011,313200000.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2011,656676000.0,Europa: 40% - 45%
Middle East,2011,36278990.0,Oriente Médio: 5% - 8%
Not classified,2011,26266600.0,"Não classificado: 1% - 3%
"
South Asia,2011,22542138.0,Sul da Ásia: 5% - 8%
Africa,2012,31677132.0,África: 3% - 5%
Americas,2012,172825810.0,Américas: 15% - 20%
East Asia and the Pacific,2012,332489800.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2012,691416260.0,Europa: 40% - 45%
Middle East,2012,37982252.0,Oriente Médio: 5% - 8%
Not classified,2012,26102602.0,"Não classificado: 1% - 3%
"
South Asia,2012,21702706.0,Sul da Ásia: 5% - 8%
Africa,2013,32783110.0,África: 3% - 5%
Americas,2013,178661580.0,Américas: 15% - 20%
East Asia and the Pacific,2013,352570940.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2013,713429950.0,Europa: 40% - 45%
Middle East,2013,40624988.0,Oriente Médio: 5% - 8%
Not classified,2013,26108500.0,"Não classificado: 1% - 3%
"
South Asia,2013,21828834.0,Sul da Ásia: 5% - 8%
Africa,2014,35106084.0,África: 3% - 5%
Americas,2014,194032800.0,Américas: 15% - 20%
East Asia and the Pacific,2014,374966240.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2014,714251840.0,Europa: 40% - 45%
Middle East,2014,49206770.0,Oriente Médio: 5% - 8%
Not classified,2014,32897598.0,"Não classificado: 1% - 3%
"
South Asia,2014,26171518.0,Sul da Ásia: 5% - 8%
Africa,2015,37680050.0,África: 3% - 5%
Americas,2015,203407280.0,Américas: 15% - 20%
East Asia and the Pacific,2015,397531230.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2015,732376960.0,Europa: 40% - 45%
Middle East,2015,52290240.0,Oriente Médio: 5% - 8%
Not classified,2015,36021100.0,"Não classificado: 1% - 3%
"
South Asia,2015,27129520.0,Sul da Ásia: 5% - 8%
Africa,2016,41345020.0,África: 3% - 5%
Americas,2016,213916770.0,Américas: 15% - 20%
East Asia and the Pacific,2016,419012100.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2016,753796800.0,Europa: 40% - 45%
Middle East,2016,50938644.0,Oriente Médio: 5% - 8%
Not classified,2016,34523500.0,"Não classificado: 1% - 3%
"
South Asia,2016,29420132.0,Sul da Ásia: 5% - 8%
Africa,2017,43313516.0,África: 3% - 5%
Americas,2017,230214880.0,Américas: 15% - 20%
East Asia and the Pacific,2017,449892580.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2017,803218400.0,Europa: 40% - 45%
Middle East,2017,51522252.0,Oriente Médio: 5% - 8%
Not classified,2017,36002600.0,"Não classificado: 1% - 3%
"
South Asia,2017,33860428.0,Sul da Ásia: 5% - 8%
Africa,2018,45877750.0,África: 3% - 5%
Americas,2018,241393220.0,Américas: 15% - 20%
East Asia and the Pacific,2018,478418100.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2018,844652100.0,Europa: 40% - 45%
Middle East,2018,58545164.0,Oriente Médio: 5% - 8%
Not classified,2018,39575120.0,"Não classificado: 1% - 3%
"
South Asia,2018,35020750.0,Sul da Ásia: 5% - 8%
Africa,2019,46207932.0,África: 3% - 5%
Americas,2019,246915950.0,Américas: 15% - 20%
East Asia and the Pacific,2019,489532830.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2019,878253500.0,Europa: 40% - 45%
Middle East,2019,62174336.0,Oriente Médio: 5% - 8%
Not classified,2019,39507744.0,"Não classificado: 1% - 3%
"
South Asia,2019,37785040.0,Sul da Ásia: 5% - 8%
Africa,2020,12413700.0,África: 3% - 5%
Americas,2020,70916950.0,Américas: 15% - 20%
East Asia and the Pacific,2020,47816400.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2020,325707740.0,Europa: 40% - 45%
Middle East,2020,13762700.0,Oriente Médio: 5% - 8%
Not classified,2020,16906670.0,"Não classificado: 1% - 3%
"
South Asia,2020,8315520.5,Sul da Ásia: 5% - 8%
Africa,2021,11643321.0,África: 3% - 5%
Americas,2021,84260584.0,Américas: 15% - 20%
East Asia and the Pacific,2021,18434410.0,Ásia Oriental e Pacífico: 20% - 25%
Europe,2021,364372900.0,Europa: 40% - 45%
Middle East,2021,19730016.0,Oriente Médio: 5% - 8%
Not classified,2021,20858964.0,"Não classificado: 1% - 3%
"
South Asia,2021,9107196.0,Sul da Ásia: 5% - 8%
